datetime,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2025-06-11 13:00:00,,20958.977233697835,,,,18790.026554704906,23127.927912690764,,,,-1182.977233697835,-3351.927912690764,985.9734452950943,,,
2025-06-11 14:00:00,,20316.31796935803,,,,18147.367291282066,22485.268647433997,,,,-606.8179693580314,-2775.768647433997,1562.1327087179343,,,
2025-06-11 15:00:00,,20358.386141832754,,,,18189.43546461313,22527.33681905238,,,,-395.3861418327542,-2564.3368190523797,1773.5645353868713,,,
2025-06-11 16:00:00,,20917.002895548547,,,,18748.052219128647,23085.953571968446,,,,781.4971044514532,-1387.4535719684463,2950.4477808713527,,,
2025-06-11 17:00:00,,22738.36124490218,,,,20569.410569229134,24907.311920575226,,,,1444.1387550978216,-724.8119205752264,3613.089430770866,,,
2025-06-11 18:00:00,,25053.08397270455,,,,22884.133297728982,27222.03464768012,,,,704.4160272954505,-1464.5346476801205,2873.366702271018,,,
2025-06-11 19:00:00,,26410.335138731505,,,,24241.384464407303,28579.28581305571,,,,192.66486126849486,-1976.2858130557106,2361.6155355926967,,,
2025-06-11 20:00:00,,26882.151566082306,,,,24713.200892366403,29051.102239798205,,,,-145.1515660823061,-2314.102239798205,2023.7991076335966,,,
2025-06-11 21:00:00,,26749.802190835147,,,,24580.85151768733,28918.75286398296,,,,-736.8021908351475,-2905.7528639829616,1432.1484823126702,,,
2025-06-11 22:00:00,,25852.162726111575,,,,23683.212053494288,28021.113398728863,,,,-1207.6627261115755,-3376.613398728863,961.2879465057122,,,
2025-06-11 23:00:00,,24204.273694741823,,,,22035.32302261999,26373.224366863655,,,,-2296.2736947418234,-4465.224366863655,-127.32302261998848,,,
2025-06-12 00:00:00,,21750.44950170262,,,,19581.49883004348,23919.400173361755,,,,-1064.9495017026202,-3233.900173361755,1104.0011699565184,,,
2025-06-12 01:00:00,,20659.32732652778,,,,18490.37665530075,22828.27799775481,,,,-328.3273265277785,-2497.277997754809,1840.6233446992483,,,
2025-06-12 02:00:00,,20187.44740512894,,,,18018.49673430545,22356.398075952427,,,,-404.44740512893986,-2573.3980759524275,1764.5032656945514,,,
2025-06-12 03:00:00,,19602.35768764144,,,,17433.40701719481,21771.30835808807,,,,-636.3576876414409,-2805.3083580880702,1532.5929828051885,,,
2025-06-12 04:00:00,,18872.09668094952,,,,16703.146010854834,21041.047351044203,,,,-625.5966809495185,-2794.5473510442025,1543.3539891451655,,,
2025-06-12 05:00:00,,18329.713965220137,,,,16160.763295454133,20498.664634986144,,,,147.78603477986326,-2021.164634986144,2316.736704545867,,,
2025-06-12 06:00:00,,19000.329032600086,,,,16831.37836314103,21169.279702059146,,,,1774.170967399914,-394.7797020591461,3943.1216368589703,,,
2025-06-12 07:00:00,,21471.449206060453,,,,19302.49853688805,23640.39987523286,,,,2412.0507939395466,243.1001247671411,4581.001463111948,,,
2025-06-12 08:00:00,,23981.108503689193,,,,21812.15783478449,26150.059172593894,,,,513.3914963108073,-1655.559172593894,2682.3421652155084,,,
2025-06-12 09:00:00,,24337.187407633144,,,,22168.236738978445,26506.13807628784,,,,-69.18740763314418,-2238.13807628784,2099.763261021555,,,
2025-06-12 10:00:00,,23970.54768593932,,,,21801.597017518103,26139.49835436054,,,,161.45231406067978,-2007.4983543605413,2330.402982481897,,,
2025-06-12 11:00:00,,23719.202619975353,,,,21550.251951772174,25888.15328817853,,,,797.2973800246473,-1371.6532881785315,2966.248048227826,,,
2025-06-12 12:00:00,,24008.676349992398,,,,21839.725681992844,26177.627017991952,,,,931.3236500076018,-1237.627017991952,3100.2743180071557,,,
2025-06-12 13:00:00,,24256.690677903203,,,,22087.740010093814,26425.641345712596,,,,367.3093220967967,-1801.6413457125964,2536.259989906186,,,
2025-06-12 14:00:00,,23860.312258421254,,,,21691.361590789456,26029.262926053056,,,,50.68774157874577,-2118.2629260530557,2219.6384092105436,,,
2025-06-12 15:00:00,,23485.681693013128,,,,21316.73102554718,25654.632360479078,,,,212.8183069868719,-1956.1323604790778,2381.7689744528216,,,
2025-06-12 16:00:00,,23728.68637874101,,,,21559.735711429945,25897.637046052077,,,,535.8136212589889,-1633.1370460520775,2704.764288570055,,,
